Number,Date,TSE:CM(open),TSE:CM(high),TSE:CM(low),TSE:CM(close),TSE:CM(adjusted close),TSE:CM(volume),TSE:CM(dividend amount),TSE:CM(split coefficient)
151,8/4/2000,43.15,43.3,42.85,42.95,17.8526,338000,0,1
152,8/8/2000,43.55,43.6,43,43.35,18.0189,671000,0,1
153,8/9/2000,43.25,43.25,42.65,43,17.8734,1006100,0,1
154,8/10/2000,42.8,42.85,42.3,42.35,17.6032,640100,0,1
155,8/11/2000,42.2,43.75,42.2,43.5,18.0812,650500,0,1
156,8/14/2000,43.55,45.2,43.55,45.05,18.7255,1604100,0,1
157,8/15/2000,44.95,45.35,44.35,45.3,18.8294,1920900,0,1
158,8/16/2000,44.9,45.9,44.65,45.15,18.7671,1636100,0,1
159,8/17/2000,45.1,45.45,44.25,44.5,18.4969,1308100,0,1
160,8/18/2000,44.9,45.05,44.6,44.85,18.6424,916100,0,1
161,8/21/2000,44.85,44.85,44.05,44.45,18.4761,367100,0,1
162,8/22/2000,45,45.5,44.35,45,18.7047,1047800,0,1
163,8/23/2000,44.9,45.1,44.5,44.95,18.6839,1326700,0,1
164,8/24/2000,44.7,44.85,44.5,44.65,18.5592,813800,0,1
165,8/25/2000,44.95,44.95,44.5,44.75,18.6008,525400,0,1
166,8/28/2000,44.3,45,44.3,44.9,18.6632,704800,0,1
167,8/29/2000,44.8,45,44.6,44.65,18.5592,1162400,0,1
168,8/30/2000,44.65,44.7,44.35,44.55,18.5177,594200,0,1
169,8/31/2000,44.5,45.3,44.5,45.1,18.7463,2095700,0,1
170,9/1/2000,45.2,45.45,45.1,45.35,18.8502,934800,0,1
171,9/5/2000,45.4,45.5,45,45.25,18.8086,796100,0,1
172,9/6/2000,45.15,46.4,45.15,45.75,19.0165,3945600,0,1
173,9/7/2000,45.6,46.5,44.65,45.1,18.7463,2138200,0,1
174,9/8/2000,45.45,45.9,45,45.75,19.0165,1726600,0,1
175,9/11/2000,45.5,46.3,45.3,46.2,19.2035,1091200,0,1
176,9/12/2000,46.2,48,46.15,47.95,19.9309,1486800,0,1
177,9/13/2000,47.75,49.75,47.35,49.4,20.5336,1995200,0,1
178,9/14/2000,49.75,50.15,49.4,49.8,20.6999,1847200,0,1
179,9/15/2000,49.35,50,48.35,49,20.3674,1270800,0,1
180,9/18/2000,49,49,47.7,48.3,20.0764,859600,0,1
181,9/19/2000,48,50.15,47.95,49.55,20.596,1117000,0,1
182,9/20/2000,49.05,49.55,48.75,49.5,20.5752,995500,0,1
183,9/21/2000,49,49.05,47.45,48.15,20.014,1414500,0,1
184,9/22/2000,47.4,48.45,46.9,47.6,19.7854,655400,0,1
185,9/25/2000,47.75,49.6,47.75,48.6,20.2011,1462000,0,1
186,9/26/2000,48.5,48.65,48,48.3,20.2137,625700,0,1
187,9/27/2000,48.25,48.9,48.1,48.35,20.2346,620900,0,1
188,9/28/2000,48.3,49.75,48.2,48.6,20.3392,737400,0,1
189,9/29/2000,48.7,49.85,48.1,49.5,20.7158,620500,0,1
